,apart_id,palabras_comunes
93,-6532242496633402555,"{'apartamento': 5, 'buena': 4, 'benidorm': 4, 'gracias': 3, 'ubicación': 3, 'lugar': 2, 'pronto': 2, 'familia': 2, 'anfitrión': 2, 'ver': 2}"
94,-6442659029891695430,"{'casa': 57, 'david': 29, 'piscina': 28, 'genial': 22, 'warner': 18, 'bien': 15, 'pasar': 15, 'familia': 14, 'niños': 14, 'amable': 13}"
95,-6361318265130281171,"{'eduardo': 28, 'atento': 15, 'lugar': 15, 'amable': 13, 'cabaña': 12, 'anfitrión': 10, 'sitio': 10, 'tranquilo': 9, 'cerca': 9, 'zona': 8}"
96,-6349992846431640866,"{'cabaña': 94, 'lugar': 67, 'valérie': 59, 'matthieu': 56, 'agradable': 36, 'anfitriones': 35, 'recomiendo': 32, 'gracias': 32, 'cama': 28, 'tranquilo': 27}"
97,-6277821541742214086,"{'cabaña': 137, 'lugar': 67, 'naturaleza': 66, 'irene': 56, 'desconectar': 41, 'sitio': 36, 'acogedora': 34, 'recomendable': 32, 'bien': 32, 'medio': 31}"
98,-6240315808812174401,"{'benjamin': 80, 'alojamiento': 77, 'agradable': 50, 'anfitrión': 48, 'bien': 48, 'recomiendo': 30, 'tranquilo': 26, 'limpio': 24, 'atento': 24, 'buen': 23}"
99,-6132087228639566826,"{'paula': 21, 'casa': 10, 'ubicación': 5, 'alojamiento': 4, 'perfecta': 4, 'altea': 4, 'anfitriona': 4, 'excelente': 4, 'lugar': 4, 'guía': 3}"
100,-6114382656206641875,"{'lugar': 107, 'álvaro': 81, 'bien': 48, 'casa': 47, 'desconectar': 41, 'sitio': 40, 'amable': 36, 'si': 35, 'anfitrión': 35, 'perros': 32}"
101,-6071539263283880246,"{'casa': 100, 'mario': 47, 'vistas': 28, 'lugar': 27, 'ubicación': 20, 'bien': 20, 'piscina': 16, 'increíble': 15, 'jardín': 15, 'madrid': 15}"
102,-6049925865133946090,"{'casa': 21, 'laura': 18, 'mar': 9, 'vistas': 8, 'agradable': 7, 'alojamiento': 7, 'terraza': 6, 'lugar': 6, 'anfitriona': 5, 'playa': 5}"
